Race,Elevation,FinishTime,Gender,Finishers2015
NYC,885,2:24:25,F,49595
San Francisco,1000,2:26:22,M,6071
NYC,885,2:10:34,M,49595
Boston,780,2:09:17,M,26598
Chicago,100,2:09:25,M,37443
Big Sur,1660,2:30:48,M,3430
Seattle,950,2:38:15,M,1719
Philadelphia,820,2:17:43,M,9161
Marine Corps (DC),845,2:24:24,M,23185
Los Angeles,875,2:10:36,M,21924
Honolulu,400,2:11:43,M,21553
Disney World (FL),25,2:18:06,M,20093
Twin Cities (MN),350,2:11:16,M,8545
Houston,200,2:08:03,M,7004
Portland (OR),850,2:28:29,M,5716
California International,240,2:12:11,M,5642
Rock and Roll Las Vegas,250,2:21:47,M,2452
Oakland,935,2:25:14,M,682
Napa,450,2:23:06,M,1888
Santa Rosa,200,2:26:46,M,1440
Mayor's (AK),500,2:32:39,M,777
San Francisco,1000,2:49:42,F,6071
Boston,780,2:24:55,F,26598
Chicago,100,2:23:33,F,37443
Big Sur,1660,2:57:02,F,3430
Seattle,950,2:58:39,F,1719
Philadelphia,820,2:40:04,F,9161
Marine Corps (DC),845,2:45:55,F,23185
Los Angeles,875,2:34:10,F,21924
Honolulu,400,2:28:34,F,21553
Disney World (FL),25,2:50:20,F,20093
Twin Cities (MN),350,2:31:40,F,8545
Houston,200,2:23:23,F,7004
Portland (OR),850,2:51:23,F,5716
California International,240,2:31:50,F,5642
Rock and Roll Las Vegas,250,3:08:18,F,2452
Oakland,935,2:56:02,F,682
Napa,450,2:45:45,F,1888
Santa Rosa,200,2:45:27,F,1440
Mayor's (AK),500,3:14:37,F,777
